transaction_id,user_id,transaction_date,amount,merchant,category,payment_method,location
T86671234,U92917,20/05/2025,461.93,Asda,Dining Out,Debit Card,Sheffield
T85909389,U19203,03/12/2024,392.87,Spotify,Utilities,Credit Card,London
T92998915,U57740,24/06/2025,46.69,Tesco,Education,Cash,Birmingham
T63686973,U94675,04/08/2025,110.14,Boots,Healthcare,Credit Card,Glasgow
T73837368,U68305,27/04/2025,56.77,Boots,Utilities,Credit Card,Leeds
T33514973,U98520,28/11/2024,148.24,Netflix,Groceries,Debit Card,Coventry
T87381103,U29359,25/08/2025,164.25,Asda,Miscellaneous,Debit Card,Birmingham
T59644110,U57328,07/12/2024,55.5,Coursera,Groceries,UPI,Birmingham
T47508498,U36915,07/04/2025,326.84,Netflix,Utilities,Cash,Sheffield
T78466999,U90318,19/02/2025,437.01,Boots,Utilities,UPI,Manchester
T88229927,U42120,14/04/2025,415.2,Coursera,Entertainment,Debit Card,Leeds
T53099298,U21610,17/10/2024,371.45,Boots,Education,UPI,Manchester
T73091666,U41245,11/02/2025,73.43,McDonalds,Healthcare,Debit Card,Liverpool
T78240341,U51289,15/02/2025,344.32,Boots,Utilities,Debit Card,Birmingham
T47090071,U31093,06/02/2025,339.99,Netflix,Transport,Bank Transfer,Glasgow
T96514010,U93523,24/07/2025,378.1,Boots,Groceries,Bank Transfer,Birmingham
T87194183,U89029,19/08/2025,392.12,Spotify,Miscellaneous,Credit Card,London
T78069176,U28587,05/10/2025,421.42,Tesco,Healthcare,Debit Card,Manchester
T65672921,U45126,04/02/2025,357.4,Spotify,Rent,Cash,Birmingham
T36096114,U95849,28/10/2024,311.26,Uber,Dining Out,Cash,Manchester
T30062369,U12757,03/09/2025,498.96,Local Market,Utilities,Debit Card,Glasgow
T95906863,U63305,22/07/2025,287.91,McDonalds,Entertainment,Credit Card,Glasgow
T46953750,U48164,11/06/2025,418.99,Tesco,Dining Out,Credit Card,Liverpool
T48635454,U60275,04/09/2025,442.59,Tesco,Entertainment,Credit Card,Leeds
T97511716,U93145,18/07/2025,196.5,Netflix,Entertainment,Cash,Birmingham
T58050854,U94337,25/03/2025,153.16,Uber,Education,UPI,Birmingham
T32093307,U16822,28/09/2025,270.96,Spotify,Miscellaneous,Bank Transfer,Birmingham
T57872460,U91579,01/05/2025,68.48,Netflix,Utilities,Credit Card,Sheffield
T10308807,U51967,16/07/2025,38.79,Netflix,Groceries,UPI,Manchester
T93131101,U41705,13/12/2024,30.35,Coursera,Healthcare,Credit Card,London
T99541550,U45250,10/02/2025,416.13,Amazon,Utilities,Debit Card,Liverpool
T25784692,U51038,03/05/2025,47.19,Asda,Rent,UPI,Birmingham
T95741432,U90688,03/03/2025,242.93,Tesco,Healthcare,Cash,Glasgow
T14039336,U73161,18/08/2025,253.9,Netflix,Dining Out,Cash,Glasgow
T46193503,U88485,01/08/2025,185.15,McDonalds,Groceries,Bank Transfer,Coventry
T57941375,U97734,21/09/2025,292.79,Tesco,Education,UPI,Manchester
T99694791,U31969,16/11/2024,213.06,Spotify,Education,UPI,Leeds
T47373574,U62523,16/05/2025,454.64,Local Market,Transport,Credit Card,Manchester
T43426137,U55237,07/07/2025,44.03,Local Market,Groceries,Bank Transfer,Birmingham
T97556275,U99591,25/10/2024,14.86,Spotify,Healthcare,Bank Transfer,Leeds
T98238723,U26610,01/06/2025,248.63,Uber,Groceries,UPI,Coventry
T94422335,U48241,12/08/2025,192.1,Amazon,Groceries,Cash,Manchester
T53020989,U72379,02/12/2024,359.93,Spotify,Utilities,Debit Card,Sheffield
T29779814,U16188,19/08/2025,229.74,Boots,Education,Debit Card,Liverpool
T40466180,U52871,02/01/2025,169.8,McDonalds,Entertainment,Credit Card,Glasgow
T64972995,U13434,06/06/2025,188.37,Local Market,Education,Credit Card,London
T10477997,U35844,02/10/2025,184.62,McDonalds,Utilities,Bank Transfer,Leeds
T52206838,U82022,03/02/2025,395.79,Local Market,Education,Bank Transfer,Liverpool
T63259955,U54158,07/09/2025,428.48,Uber,Entertainment,UPI,Birmingham
T43756350,U67899,28/06/2025,395.88,Uber,Entertainment,Bank Transfer,Coventry
T68775811,U74358,29/05/2025,479.35,Coursera,Groceries,Debit Card,Leeds
T14725761,U98487,04/07/2025,143.66,Uber,Healthcare,Credit Card,London
T54014131,U93373,15/07/2025,206,Asda,Education,Cash,Leeds
T55889794,U25020,05/04/2025,347.49,Amazon,Entertainment,Bank Transfer,Coventry
T57267919,U10511,28/11/2024,467.24,Netflix,Groceries,Debit Card,London
T54976990,U94755,18/12/2024,394.75,Spotify,Utilities,Cash,Glasgow
T71138490,U68891,05/11/2024,125.09,Tesco,Utilities,Bank Transfer,Manchester
T72482048,U48292,05/09/2025,234.24,Tesco,Transport,Bank Transfer,Liverpool
T60958750,U29141,17/12/2024,158.56,McDonalds,Rent,UPI,Glasgow
T63158422,U54183,18/05/2025,317.13,Boots,Rent,Credit Card,London
T42387245,U60802,28/10/2024,463.94,Uber,Healthcare,UPI,Manchester
T83331260,U71326,04/02/2025,255.08,Coursera,Utilities,Debit Card,Coventry
T41477611,U48144,20/01/2025,290.79,Coursera,Healthcare,UPI,Liverpool
T58553073,U63949,20/06/2025,30.92,Spotify,Entertainment,Bank Transfer,London
T63365543,U43281,01/05/2025,141.54,McDonalds,Transport,Bank Transfer,Liverpool
T15759850,U92139,02/04/2025,13.7,Spotify,Transport,Credit Card,Birmingham
T35183555,U59369,10/02/2025,150.5,Asda,Entertainment,Bank Transfer,Birmingham
T34594089,U73831,23/09/2025,122.36,Asda,Utilities,Debit Card,Glasgow
T55907663,U25233,23/10/2024,369.26,Tesco,Transport,UPI,Sheffield
T29721478,U80861,12/02/2025,262.19,Boots,Healthcare,Credit Card,London
T39340441,U28730,26/10/2024,317.94,Tesco,Entertainment,UPI,Coventry
T91877373,U20348,22/04/2025,11.86,Netflix,Dining Out,Credit Card,Liverpool
T51952815,U86536,11/06/2025,375.21,Coursera,Miscellaneous,Bank Transfer,Leeds
T22689272,U20038,12/08/2025,22.65,Coursera,Rent,Cash,Coventry
T25811634,U40257,30/07/2025,135.16,Uber,Healthcare,Debit Card,Leeds
T82507474,U88601,17/04/2025,61.06,Local Market,Transport,Debit Card,Leeds
T85131692,U97904,14/07/2025,144.67,Tesco,Entertainment,Debit Card,Liverpool
T99081632,U68736,28/09/2025,479.46,Boots,Rent,UPI,Leeds
T16230375,U39880,04/06/2025,260.24,Uber,Healthcare,Cash,London
T34302245,U48517,11/01/2025,450.41,McDonalds,Education,Cash,Birmingham
T57585416,U52777,09/08/2025,45.78,Tesco,Transport,Cash,Liverpool
T90891901,U80731,03/02/2025,184.24,Local Market,Dining Out,Credit Card,London
T22837139,U86901,16/07/2025,19.47,Asda,Healthcare,UPI,Liverpool
T58902520,U68219,31/07/2025,310.73,Uber,Transport,Debit Card,Sheffield
T96552094,U10162,16/04/2025,126.83,Asda,Dining Out,Debit Card,Manchester
T22715502,U88052,07/06/2025,165.59,Amazon,Transport,Credit Card,London
T28905125,U31549,04/05/2025,78.43,Asda,Entertainment,Bank Transfer,Liverpool
T98113225,U45910,25/03/2025,299.73,Asda,Groceries,UPI,Sheffield
T58518987,U17907,31/10/2024,137.21,Amazon,Rent,Cash,Birmingham
T26913507,U87658,18/05/2025,196.06,McDonalds,Rent,Cash,Birmingham
T21195275,U26275,01/05/2025,482.16,Local Market,Entertainment,Credit Card,Manchester
T75677604,U45480,29/12/2024,275.5,Coursera,Miscellaneous,UPI,Leeds
T14479291,U16907,19/07/2025,145.55,Asda,Healthcare,Cash,Birmingham
T49296917,U71905,05/01/2025,94.44,Asda,Rent,Debit Card,Glasgow
T41599149,U28859,19/01/2025,222.93,McDonalds,Education,Debit Card,Manchester
T81338143,U82339,06/02/2025,120.33,McDonalds,Miscellaneous,Debit Card,Liverpool
T22995836,U16263,28/10/2024,44.5,Tesco,Utilities,Bank Transfer,Liverpool
T27694564,U18460,14/05/2025,408.27,Boots,Healthcare,Bank Transfer,Birmingham
T88577793,U13937,01/07/2025,71.58,Coursera,Dining Out,Cash,Coventry
T56321071,U45848,03/02/2025,402.73,Coursera,Education,Credit Card,Leeds
T64171640,U18064,14/05/2025,418.25,Amazon,Dining Out,UPI,Leeds
T73917818,U52933,05/01/2025,409.83,Asda,Rent,Cash,Liverpool
T23098658,U86276,26/01/2025,307.1,Local Market,Transport,UPI,Liverpool
T47376905,U81995,10/03/2025,271.29,Boots,Transport,Bank Transfer,Leeds
T63887180,U20235,01/07/2025,36.92,Local Market,Education,Cash,Leeds
T13120878,U65385,28/02/2025,455.27,McDonalds,Entertainment,Bank Transfer,Coventry
T79075140,U70329,27/03/2025,141.38,Asda,Dining Out,UPI,London
T16189679,U75632,16/10/2024,429.45,Tesco,Rent,Debit Card,Coventry
T99171324,U86980,01/07/2025,150.74,Local Market,Utilities,Debit Card,Glasgow
T81630976,U36743,08/09/2025,476.78,Local Market,Rent,Cash,Glasgow
T26429273,U39172,20/04/2025,424.25,Spotify,Groceries,Debit Card,Manchester
T78501339,U80908,25/02/2025,144.44,Netflix,Dining Out,Debit Card,Birmingham
T71268590,U44305,14/08/2025,238.05,Local Market,Utilities,Bank Transfer,Birmingham
T14039511,U59078,22/06/2025,451.3,Amazon,Healthcare,Bank Transfer,Glasgow
T68967181,U51989,16/11/2024,411.09,Spotify,Rent,UPI,Coventry
T30475834,U84152,19/08/2025,287.44,Asda,Rent,Bank Transfer,Glasgow
T86584088,U91778,17/10/2024,99.44,McDonalds,Miscellaneous,Cash,Sheffield
T37344912,U83363,02/12/2024,144.09,Local Market,Miscellaneous,UPI,Manchester
T65683788,U94717,28/03/2025,283.32,Boots,Groceries,Credit Card,Glasgow
T18002778,U10486,29/08/2025,249.73,Tesco,Education,Cash,Glasgow
T15048559,U32483,02/07/2025,485.49,McDonalds,Healthcare,Bank Transfer,Leeds
T70163148,U39551,06/12/2024,451.57,Local Market,Rent,Debit Card,Birmingham
T20423246,U32372,12/07/2025,323.52,Tesco,Healthcare,Debit Card,Liverpool
T42804673,U82360,24/12/2024,478.65,McDonalds,Transport,Credit Card,Sheffield
T78419071,U18756,04/05/2025,57.65,Local Market,Rent,Cash,Sheffield
T36076252,U20014,18/04/2025,229.06,Spotify,Miscellaneous,Credit Card,Sheffield
T49048727,U87600,10/07/2025,14.64,Coursera,Healthcare,UPI,Sheffield
T92941651,U52959,03/11/2024,365.2,McDonalds,Rent,Cash,Leeds
T26603365,U31085,20/07/2025,249.28,Local Market,Rent,UPI,London
T16286711,U33663,02/10/2025,392.32,Spotify,Dining Out,Bank Transfer,Leeds
T78352883,U81175,24/05/2025,68.47,McDonalds,Dining Out,UPI,Sheffield
T63873403,U34133,20/11/2024,327.69,Boots,Education,Cash,Manchester
T58887351,U46201,14/01/2025,375.68,Asda,Groceries,Credit Card,London
T56328930,U62777,19/03/2025,456.15,Coursera,Groceries,Debit Card,Sheffield
T78345726,U29969,24/09/2025,266.68,Amazon,Dining Out,Cash,Liverpool
T88922183,U70412,29/07/2025,485.63,McDonalds,Rent,Credit Card,Birmingham
T38615087,U63964,16/02/2025,232.92,Uber,Healthcare,Cash,London
T13976074,U30875,24/11/2024,321.07,Spotify,Dining Out,Credit Card,Coventry
T73012490,U40773,27/07/2025,488.59,Uber,Rent,Bank Transfer,London
T96623093,U96710,12/01/2025,277.8,Boots,Entertainment,Credit Card,Liverpool
T14521273,U46180,18/09/2025,73.98,Uber,Transport,Cash,Liverpool
T93698513,U19849,14/09/2025,293.88,Uber,Entertainment,Debit Card,Birmingham
T11538421,U24441,29/05/2025,80.62,Spotify,Utilities,Bank Transfer,Coventry
T62217291,U31531,01/10/2025,312.2,Tesco,Education,UPI,Sheffield
T16246083,U45658,07/11/2024,369.25,Netflix,Groceries,Debit Card,Coventry
T84307946,U20330,15/11/2024,423.52,McDonalds,Healthcare,Credit Card,Liverpool
T26625843,U23028,09/11/2024,293.67,Local Market,Dining Out,Cash,Coventry
T82434581,U88475,09/12/2024,204.57,Amazon,Rent,UPI,Liverpool
T38697353,U34114,26/05/2025,478.38,Tesco,Groceries,Credit Card,Leeds
T86401204,U28605,15/10/2024,238.19,Amazon,Groceries,Bank Transfer,Sheffield
T10507996,U69379,18/02/2025,276.45,Spotify,Dining Out,Bank Transfer,Manchester
T34932600,U32743,21/08/2025,396.91,Netflix,Education,Debit Card,Manchester
T86234382,U95075,06/10/2025,368.71,Uber,Dining Out,Credit Card,Birmingham
T80607168,U64019,15/03/2025,49.84,Coursera,Groceries,Debit Card,Manchester
T20537492,U80505,15/08/2025,188.46,McDonalds,Entertainment,Credit Card,Liverpool
T34067494,U48489,13/10/2024,208.69,McDonalds,Utilities,Bank Transfer,Sheffield
T52395202,U94269,20/08/2025,113.65,Local Market,Groceries,Credit Card,Sheffield
T21409643,U62171,24/08/2025,103.73,Spotify,Miscellaneous,Debit Card,London
T93488997,U25296,02/12/2024,36.85,Asda,Rent,Credit Card,Sheffield
T66903189,U53483,03/09/2025,240.6,Amazon,Entertainment,Credit Card,Leeds
T33648044,U75538,05/09/2025,73.22,Boots,Groceries,Cash,Coventry
T11622490,U34414,23/03/2025,435.45,Coursera,Rent,UPI,Liverpool
T85088146,U92424,23/12/2024,406.87,McDonalds,Groceries,UPI,London
T93382516,U60641,18/11/2024,252.59,Uber,Healthcare,Cash,Liverpool
T49159522,U13514,12/10/2024,57.64,Coursera,Dining Out,UPI,Birmingham
T51374379,U83153,20/06/2025,77.4,Spotify,Dining Out,Cash,Coventry
T58841995,U35229,01/03/2025,274.25,Netflix,Entertainment,Debit Card,Coventry
T15375838,U44358,15/02/2025,82.75,McDonalds,Rent,Cash,Glasgow
T89528334,U53005,23/05/2025,263.19,Uber,Miscellaneous,Bank Transfer,Glasgow
T36653760,U77722,06/06/2025,424.62,McDonalds,Entertainment,Credit Card,Liverpool
T18937785,U58738,28/12/2024,466.59,Local Market,Dining Out,Debit Card,Glasgow
T90107981,U95043,08/04/2025,148.42,Tesco,Dining Out,Cash,Glasgow
T69510062,U63824,31/05/2025,67.14,Local Market,Miscellaneous,Credit Card,Glasgow
T25512760,U73432,21/02/2025,446.53,McDonalds,Utilities,Bank Transfer,Glasgow
T83229921,U24618,10/06/2025,271.6,Spotify,Groceries,Cash,Glasgow
T32450149,U23136,02/04/2025,365.45,Tesco,Groceries,Credit Card,Glasgow
T54802049,U56203,08/07/2025,333.8,Spotify,Education,Credit Card,Coventry
T17414166,U24807,17/09/2025,264.53,Netflix,Groceries,Cash,Liverpool
T95814174,U91579,11/04/2025,459.76,McDonalds,Dining Out,Cash,Glasgow
T96995317,U12327,24/02/2025,240.33,Coursera,Miscellaneous,Debit Card,Sheffield
T87621478,U46355,17/07/2025,78.36,Tesco,Dining Out,Credit Card,Manchester
T16541493,U88240,11/03/2025,51.56,Amazon,Miscellaneous,Credit Card,Glasgow
T22825143,U54400,02/02/2025,311.43,Amazon,Education,UPI,Glasgow
T70556289,U64136,05/12/2024,291.74,Local Market,Miscellaneous,Cash,Coventry
T96322656,U56137,15/10/2024,149.25,Uber,Transport,Cash,Leeds
T59372677,U76643,18/02/2025,77.13,Asda,Miscellaneous,Debit Card,Leeds
T85288954,U50993,12/01/2025,158.19,Coursera,Miscellaneous,Debit Card,Glasgow
T69746057,U63201,31/01/2025,155.25,McDonalds,Miscellaneous,UPI,Leeds
T52980292,U79136,09/02/2025,137.22,Amazon,Utilities,Bank Transfer,Leeds
T64173671,U40906,09/12/2024,430.74,Asda,Healthcare,UPI,Manchester
T82783859,U94364,26/03/2025,286.74,Coursera,Groceries,Bank Transfer,London
T78746551,U34890,11/03/2025,421.28,Boots,Groceries,Credit Card,London
T25780710,U12106,10/06/2025,354.18,Local Market,Rent,Credit Card,Glasgow
T45080052,U40482,20/03/2025,15.1,Coursera,Utilities,Debit Card,Coventry
T86943687,U25928,01/07/2025,425.58,Netflix,Groceries,UPI,Liverpool
T53369220,U16062,15/09/2025,314.78,Spotify,Entertainment,Cash,Sheffield
T39471505,U76003,27/04/2025,269.92,Netflix,Healthcare,Bank Transfer,Manchester
T50253429,U16732,05/06/2025,429.9,Asda,Transport,UPI,Liverpool
T26592556,U93223,02/12/2024,142.95,McDonalds,Rent,Debit Card,Sheffield
T69362123,U22069,24/10/2024,297.16,Netflix,Miscellaneous,UPI,London
T65119508,U65050,24/10/2024,26.41,Uber,Entertainment,Credit Card,Coventry
T90180392,U64273,15/08/2025,368.43,Tesco,Groceries,Bank Transfer,Glasgow
T68469517,U43251,29/11/2024,101.82,Coursera,Education,Credit Card,Sheffield
T85135106,U29462,26/02/2025,77.67,Asda,Miscellaneous,UPI,London
T17985099,U29248,13/06/2025,294.3,Uber,Education,Credit Card,Sheffield
T31202001,U53460,07/06/2025,335.94,Boots,Transport,Cash,Liverpool
T99698114,U16634,18/11/2024,51.27,McDonalds,Utilities,Credit Card,Leeds
T61950137,U75393,04/07/2025,495.4,Asda,Dining Out,UPI,Coventry
T71485846,U46132,23/08/2025,84.84,Tesco,Utilities,Cash,Birmingham
T55523563,U83730,11/12/2024,306.41,Uber,Miscellaneous,Bank Transfer,Birmingham
T47830228,U38522,14/04/2025,35.04,Uber,Miscellaneous,Debit Card,Liverpool
T47770796,U66593,29/11/2024,270.96,Tesco,Entertainment,Credit Card,Birmingham
T89174335,U16091,27/04/2025,35.88,McDonalds,Healthcare,Bank Transfer,Liverpool
T12589627,U67070,25/06/2025,146.38,Boots,Utilities,Credit Card,Coventry
T45343718,U33597,18/08/2025,346.82,McDonalds,Dining Out,Credit Card,Birmingham
T96920574,U56418,10/08/2025,60.74,Netflix,Entertainment,Debit Card,Manchester
T16998918,U86783,08/04/2025,179.59,Amazon,Groceries,Debit Card,Glasgow
T62538010,U20844,27/03/2025,23.68,Coursera,Rent,UPI,Birmingham
T76955559,U19740,12/09/2025,411.76,Tesco,Entertainment,UPI,Sheffield
T59544902,U18036,18/11/2024,78.09,Amazon,Groceries,UPI,Glasgow
T15925487,U83179,30/12/2024,231.07,Boots,Groceries,Debit Card,Coventry
T71326607,U77632,29/11/2024,336.04,Local Market,Entertainment,UPI,Sheffield
T57407208,U47672,07/08/2025,238.49,Boots,Dining Out,Debit Card,Sheffield
T78437669,U20648,29/12/2024,113.48,Amazon,Miscellaneous,Credit Card,Leeds
T17522401,U36672,11/10/2025,280.8,Boots,Transport,Credit Card,Coventry
T55676450,U83738,30/08/2025,424.64,Amazon,Miscellaneous,Bank Transfer,Birmingham
T53156977,U62140,08/08/2025,439.57,Local Market,Groceries,Debit Card,Glasgow
T79483336,U29559,25/11/2024,429.13,McDonalds,Dining Out,Debit Card,London
T31044093,U79758,26/05/2025,459.01,McDonalds,Healthcare,Cash,London
T23681443,U44774,08/07/2025,247.74,Netflix,Dining Out,Cash,Leeds
T47703191,U69666,17/12/2024,431.42,McDonalds,Rent,Bank Transfer,Liverpool
T88414192,U95289,29/04/2025,66.84,Coursera,Transport,Cash,Glasgow
T87650255,U74516,30/07/2025,77.12,Local Market,Education,Debit Card,Liverpool
T29932077,U43518,08/04/2025,299.64,Boots,Healthcare,Debit Card,Coventry
T88164691,U81833,19/06/2025,279.94,Amazon,Healthcare,UPI,Manchester
T53572396,U44785,09/12/2024,193.3,Tesco,Utilities,Bank Transfer,Coventry
T67206152,U55893,14/10/2024,394.96,Coursera,Dining Out,Credit Card,Birmingham
T30741928,U71902,15/10/2024,85.29,Uber,Entertainment,Bank Transfer,Leeds
T40016627,U50792,11/05/2025,320.41,Tesco,Dining Out,Cash,Leeds
T97321486,U41318,05/12/2024,98.87,Tesco,Miscellaneous,Credit Card,Liverpool
T87503093,U29980,24/07/2025,226.8,McDonalds,Healthcare,Credit Card,Coventry
